《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
大家知道滨海新区循环经济发展研究有多少章节吗？	10	数字
你知道3,3,4,4-四氟吡咯烷盐酸盐的分子式是什么吗？	c4h5f4n.hcl	单位
你知道有关windows预先安装环境的发布信息吗？ 	v5.1 (2014年4月，8个月前) [信息]	日期
谁是朱成璧的原型？	孝恭仁皇后	人物
昆米勒的汉语名称是什么？	柳蒿芽	植物
请问尼康d3300的像素有多少？	2416万	单位
网际畅游的简体中文在哪里找到？	软件语言	软件
亿格瑞r110是什么类别的产品？	高清播放机	电子产品
台中市属于什么类别的行政区？	地级市	国家
请问苹果公司所属于哪些业务地区？	全球	组织机构
佳能dc310最大有多少像素？	80万	单位
井上靖是什么时候创作的？	1936年——1991年	日期
兰陵王妃是什么公司发行的？	电广传媒	公司
请问雪藕炖鸡汤要放哪些佐料？	姜	食品
请问融侨馨苑是属于什么类型的产权？	普通商品房	书籍
宝马x6的油耗是多少？	11.3l/100km	单位
你可以说出梅克伦堡-前波美拉尼亚车牌号码是什么吗？	sm	英文名
谁是超次元游戏 海王星的代理商？	日本：compile heart 北美：nippon_ichi_software 欧洲：コーエーテクモゲームス（日语：コーエーテクモゲームス） 台湾：讯源国际（特威文：訊源國際）	音乐作品
心理测量者使用了什么网络？	my 101综合台 funimation 乐视网	公司
沃勒的郡是什么？	东福尔郡	地点
请问曼谷迷情是哪个国家的？	印度	地点
黎叔的含义是什么？	中华联邦 武官 黎星刻	组织机构
三星n7100极致精简4.1.1的rom大小是多少？	707 mb	单位
你知道hp compaq dx2200(rj278pa)的内存大小吗？	512mb	单位
金优165是什么时候审定的？	2010	数字
索尼爱立信 j108i有哪些数据业务？	gprs，edge，hspa	单位
请问太古广场有多少层？	4	数字
请问埃里希·冯·曼施坦因参与过哪些战争？	第一次世界大战 第二次世界大战   波兰战役 法国战役 (二战) 巴巴罗萨作战 塞瓦斯托波尔战役 列宁格勒围城战 斯大林格勒攻防战 第三次卡尔可夫战役 库尔斯克战役 第聂伯河战役	书籍
刺五加的毒性如何？	无毒	字词
请问五峰山的最高海拔是多少？	574米	单位
火星引力由什么网站签约的？	纵横中文网	小说
请问就好这一口是什么时候开播的？	2013年8月	日期
你们知道美国银行大厦的设计建设团队是什么吗？	美国银行	书籍
2012款新福美来 1.6l自动精英版是什么时候推出的？	2012	数字
t-50战斗机的翼展有多长？	13.95 米	单位
寻阳公主的丈夫是谁？	荀羡	中国历史人物
长虹数字机顶盒是什么系列的？	dvb-c8000bh、dvb-c8000jx	单位
请问兰兴的教练是谁？	马军	人物
你知道玉带河有多长吗？	500米	单位
哪个厂制造了ssv-33指挥舰？	波罗的海造船厂	公司
西瓜锈病属于什么病原类型？	真菌	医学术语
什么是临床医学的专业代码？	630101	数字
城关镇是什么时候建置的？	1966年	日期
九龙巴士98c、98s线的全程行车时间是多久？	97分钟	单位
漫步者k550的频率响应是多少？	20-20khz	单位
秦时明月是什么系列的丛书？	秦时明月	动画
表面涂覆技术运用于哪里？	装修	术语
谁创办了舞公馆？	雷可	人物
你知道惠普officejet pro k8600(cb015a)的黑白打印速度吗？	35 ppm	单位
理念有什么释义？	观念	词语
什么时候现代装饰国际传媒奖开始创立？	2003年	日期
血与荣耀的现状如何？	封测	游戏
裂魂人的阵营是什么？	夜魇	游戏
莫妮卡·塞莱斯的职业奖金是多少？	1489,1762 美元	社会事件
迈科aos ip-5000的并发连接数是多少？	2500000	数字
大家知道杨过是哪个门派的吗？	古墓派	小说
理查德·温特斯是什么时候服役的？	1942年-1945年, 1950年-1953年	日期
什么是比灵斯机场的三字代码？	bil	英文名
林肯县的县治是什么？	lincolnton	英文名
有多少队参加了2015年欧洲运动会沙滩足球比赛？	8	数字
本町的特别区是什么？	涩谷区	地点
东盛丽都是什么时间入住的？	20120800	数字
沈阳南站是什么时候启用的？	2015年8月	日期
街舞少年的isrc是什么？	cn-f17-08-0017-0/v.j9	单位
请问舟山渔都风情假日宾馆的行政区在哪里？	普陀山	地点
请问worm.novarg.e的处理时间是什么时候？	2004-02-24	日期
你知道tcec th01(4gb)的保质期有多久吗？	1年	日期
请问戈麦斯·拉蒙特·比斯利的俱乐部有哪些人？	格拉斯哥流浪者	组织机构
请问北京市郊铁路s6线是什么时候开通的？	2023年	日期
无锡恒创资产管理有限公司的理念是什么？	诚信 专业 高效 共赢	词语
microsoft windows的初始版本是什么时候？	1985年11月20日（29年前）（windows 1.0）	日期
约瑟夫·曼凯维兹是什么时候去世的？	1993年2月5日	日期
大家知道qq风云三国的运营公司是什么吗？	腾讯	公司
十万个冷笑话适合什么年龄段观看？	r-15	文学作品
鹫见原莺的论证出版了吗？	是	字词
谁是大连阿尔滨足球俱乐部的主教练？	仓田安治	人物
南京大屠杀死难者国家公祭日是什么时候设定的？	2014年2月27日	日期
你知道王下七武海有多少册单行本吗？	74卷（2014年6月）	日期
中医医院风湿病科建设与管理指南是什么部门发布的？	国家中医药管理局	组织机构
你知道习近平办公室是什么时候公布的吗？	2014年春节	日期
请问环球航空800号班机空难的摘要时间是什么？ 	1996年7月17日东部时间20时31分（0031 utc，7月18日）	日期
谁是玉溪市中医院的院长？	张竣	人物
大家了解棉花枯腐病的拉丁学名吗？	macrophomina phaseoli (maubl.) ashby	单位
梦莉娇红石榴排毒净化纯露属于什么品牌？	梦莉娇	公司
请问莱索托馆叫什么？	莱索托馆	地点
icoo t520属于什么类型？	录放	字词
你知道什么是加利福尼亚大学戴维斯分校的吉祥物吗？ 	gunrock the mustang	英文名
你知道android开发工程师有哪些工作内容吗？ 	android ui设计	歌曲
skf 619/950mb轴承的内径是多少？	950mm	单位
泸玉甜6号属于什么类型？	玉米	食品
请问csoft wiseimage pro geo v7.0 使用的什么语言？	中文	字词
cw6mo5cr4v3的牌号是什么？	cw6mo5cr4v3	单位
潘哈德装甲侦察车的高度是多少？	2.24m (7ft−75.2in)	单位
十堰市盐务管理局是由什么内设的？	湖北省盐务管理局	组织机构
南昌百货大楼的面积是多少？	8万平方米	单位
请问玉米附球菌叶斑病属于什么类型？	真菌	医学术语
峃作口溪位于哪个洲？	亚洲	国家
圣痕炼金士是哪部书籍里面的？	《champion red》2007年12月号	日期
棘刺母猴属于什么感情色彩？	中性成语	成语
机器人历险记的发行厂商是谁？	vivendi universal games	英文名
谁唱的怀念金曲？	卓依婷	人物
a.o.史密斯ewh-60a5的额定压力是多少？	0.8mpa	单位
晓之护卫有多少个结局？	6	数字
基辅国立建筑大学是什么时候建造的？	1930年	日期
请问生物反应器工程国家重点实验室（华东理工大学）研究什么？	生物过程工程	书籍
索尼vgn-cs27/w的主频是多少？	2.40ghz	单位
fag 32309a轴承产自哪里？	德国	国家
工作绩效量化考核技术有多少个碟片？	3	数字
大家了解杜宾犬的寿命吗？	10-14年	日期
飞盘是什么时候发明的？	1946年	日期
nsk61903-2z 轴承的旧型号是什么？	1080903	数字
2011岩井俊二电影音乐会在哪里举办？	东方艺术中心	地点
云南省劳动监察条例是关于什么的条例？	劳动	经济人物
请问什么是intel d865gsai的主板架构？	microatx	英文名
请问上海临江国际旅行社年盈利额是多少？	1.19亿元	单位
你知道莱昂·克拉克以前效力过哪个俱乐部吗？	普雷斯顿足球俱乐部	组织机构
段正严的在位时间是多少？ 	1108年—1147年	日期
请问柊镜在哪个班级？	2年d班→3年c班	日期
企业号航空母舰的续航距离有多少？	无限	词语
汤米·克鲁兹的本垒打得分是多少？	120	数字
救赎墓园4：失落的救世主是由什么发行的？	bigfish games	英文名
凯特·阿普顿的头发是什么颜色？	金色	美术家
自由民主党处于什么政治立场？	中间派	字词
兆讯达a765的通话时间是多久？	240-420 分钟	单位
唐武宗的在世时间是什么？	814年7月2日—846年4月22日 (33岁)	日期
莱谢蒂茨基擅长什么？	钢琴曲	歌曲
学校网应用于什么？	教育机构	机构
fos在哪个国家？	france	英文名
清昭陵是什么时候注册的？	2000年	日期
雅佳cxw-218-sm06 的排风量是多少？	18±1m3/min	单位
惠普omnibook 6000 f2148的内存容量有多少？	128	数字
你能说出岳母的拼音是什么吗？	yuèmǔ	单位
须弥帝释属于什么门派？	欲界	小说
请问ntn 23140bk轴承的内径有多少？	200mm	单位
我的女神ova是什么时候出品的？	1993	数字
水的形态应该如何开始？	游戏加载完毕点击播放按钮 - 然后选择关卡即可开始游戏	符号
第12届中国光伏大会暨国际光伏大会什么时候开展？	2012年9月3日—4日	日期
你知道杨庙镇有多少个行政村吗？	10	数字
东南大学自动化学院的现任院长是谁？ 	魏海坤	人物
北京军区空军由谁批准？ 	中央军委	最高军事领导机构
大家了解太上老君所处于什么时代吗？	春秋	阶段
谁是纽约邮报的编辑？ 	colallan	英文名
莎朗·依斯宾：新世界之旅是哪个地区的？	欧美	词语
2010款道奇酷搏的悬挂方式是什么？	麦弗逊式悬挂系统	名称
惠普 laserjet enterprise flow mfp m525c(cf118a)的最大处理幅面是多少？	a4	汽车
承启agp-ri70 16mb属于什么类型？	sgram	英文名
什么是雪佛兰uburban的燃油系统？	多点电喷	汽车零部件
2010款道奇酷搏有助力系统吗？	有	字词
请问阳明山国家公园有多少人参观？	9,223,224次（2013年）[1]	日期
刘恺威的女儿小名是什么？	小糯米	人物
热尔松·费尔南德斯的合同什么时候到期？	：2013-06-30	日期
请问净月潭国家森林公园有多少森林覆盖率？	96%	歌曲
谁知道城巴40线的终点站及服务时间？	星期一至六：06:37-23:48 星期日及公众假期：06:35-23:35	日期
重庆大安工业园区的建成面积有多少？	4平方公里，	单位
浮洋方潮盛铜锣制作技艺是什么时候批准的？	2009年10月16日	日期
大叶女蒿属于什么亚族？	菊亚族	植物
塞雷娜·威廉姆斯在温网获得冠军是什么时候？	冠军 （2002、2003、2009、2010、2012）	词语
你知道三星s5830i的操作系统是什么吗？	android os 2.3	单位
吉林省山东商会是什么时候注册的？	2008年4月	日期
请问arena sa-7230的平均传输率是多少？	320mb/s	单位
ge70es-2rs轴承厚度是多少？	49	数字
xyz之魂的罕见度为？	平卡n	电子游戏
你知道中央电视台英语新闻频道在哪里播放吗？	全球	组织机构
什么是1956年香港亚洲杯的官方名称？	asian cup hong kong 1956	单位
卡巴尔达－巴尔卡尔共和国属于什么洲？	欧洲	洲
淮秀帮是什么时候创办的？	2010年5月8日	日期
联想thinkpad 40y7710（65w/超薄）的输入电压是多少？	ac100-240v	单位
北京活动周产自哪里？	中国大陆	地点
湖南大学有多少个博士后流动站？	21	数字
鸡冠洞有多深？	5600米	单位
everything的b面是什么？	season	英文名
2012中国（江西）汽车后市场产业博览会在什么时候举办的？	2012年10月20日-22日	日期
鸥歌a4有多少个扩展插槽？	2个	音乐作品
谁影响了冰心？	罗宾德拉纳特·泰戈尔	人物
塞雷娜·威廉姆斯在哪些年获得了美网的冠军？	冠军 （1999、2002、2008、2012、2013、2014）	词语
你知道萧蔷信仰什么宗教吗？	佛教	语言
员字的五笔码是？	kmu	英文名
我是歌手是哪个台播出的？	中国大陆 湖南卫视	地点
谁是南太平洋的旁白？	本尼迪克特·康伯巴奇	人物
金星潢尺蛾东北亚种属于什么科？	尺蛾科	生物
谁是新里崴廉公馆的投资商？	上海绿地集团	公司
请问叔烷基辛胺的cas no是多少？	107-45-9	日期
皇帝亲亲之宝有多高？	7.7cm	单位
黄河绝恋获得了什么荣誉？	中国电影金鸡奖最佳女主角 宁静	人物
苏必利尔湖平均有多深？	147米	单位
你知道灰鸽子变种cor要依赖哪些系统吗？	windows nt/2000/xp/2003	单位
赵勇是什么时候参加工作的？	1994年8月	日期
请问张勤俭的学历是什么？	工学博士	人物
你知道特奥蒂瓦坎的法文名叫什么吗？	cité préhispanique de teotihuacan	单位
2011第十二届中国（青岛）国际礼品工艺品及家居品博览会的面积有多大？	21000平米	单位
惠普cq40-630tx的标称主频是多少？ 	2.2ghz	单位
请问制造了多少欧文冲锋枪？	45,000－50,000 枝	字词
请问金木药业集团共有多少资产？	3.8亿元	单位
海山公园是什么时候兴建的？	2004年3月	日期
doa是什么时候开始的？	2004年-	日期
你知道骨伽cmx400w（悍能铜牌系列）属于什么类型吗？	14cm	单位
公路超限检测站管理办法的第一章是什么？	总 则	人物
arena sa-7230最大能存储多少容量？	3000	数字
请问爱普生picturemate 210最大能打印多少幅面？	a6	交通工具
肯尼思·卡翁达国际机场属于什么类型？	公共事业	事业
pim应该如何简写？ 	pim	英文名
云南省少数民族语言文字工作条例是什么时候施行的？	2013年5月1日	日期
富锦嘉园二区的车位状况如何？	充足	字词
ntn 63/22llu轴承的外径是多少？	56mm	单位
村高遗址属于什么保护单位？	山东省文物保护单位	词语
正平是什么时候结束的？	618年七月	日期
碘缺乏病防治日是在哪设定的？	北京市	首都
阿空加瓜山属于哪一个山脉？	安第斯山	地点
塞雷娜·威廉姆斯在哪些年法网的比赛获得了冠军？ 	冠军 （2002、2013）	词语
首信s618的适用频率是多少？	900/1800mhz	单位
呼包高速公路有多长？	151.128公里	单位
乙型肝炎的emedicine是什么？	med/992 ped/978	单位
哪里是密苏里州的最大城市？	堪萨斯市	地点
太空发射系统有哪些用途？	运载火箭	武器装备
请问独立号航空母舰可以吃水多少米？	14751米	单位
金鹰ev6a/s的主芯片组是什么？	via pro133	单位
锦江水库的最大坝高是多少？	63.20米	单位
圆梦创业联盟是什么时候开始创建的？	1999年9月	日期
settime有哪些用法？	void settime	英文名
周定友是什么时候毕业的？	1988年	日期
tvm_b5.exe是间谍软件吗？	yes	英文名
圣奥斯卡的精灵序号是多少？	2377	数字
重逢的初恋情人完结了吗？	完结	字词
你知道鑫威kw3561hc的结构是什么吗？	3u	网站
大成的艺名是什么？	大成	人物
请问游骑兵号航空母舰有多少满载排水量？	17577吨	单位
迈巴赫exelero的加速时间是什么？	4.4（ 0~100km/h）	单位
什么是守护圣诞礼品的原名？	gift keeper	英文名
华英389的总长是多少？	14.3（米）	单位
你知道鲤鱼潭有多宽吗？	930米	单位
koyo 47686r/20a轴承有多厚？	33.338mm	单位
15nicumonb5的商用名是什么？	15 nicumonb 5, wb 36	单位
大家了解长沙地铁2号线属于什么系统吗？	长沙轨道交通	车站
武汉市诉讼档案馆的原名是什么？	资料股	组织机构
请问马湖有多大？	72.35平方公里	单位
捕鱼达人之深海狩猎是哪个平台的？	789游戏中心	游戏
泰格尔属于什么进化阶段？	高级	字词
新桥跨越了什么河？	塞纳河	地点
游骑兵号航空母舰的标准排水量有多少？	14576吨	单位
北京第六幼儿园有什么美称？	”首都绿化美化花园式“幼儿园	组织机构
乌克兰总统的任期是多少？	5年，可连任1次	日期
请问西门子er32942mx有多少个灶眼？	2	数字
梅赛伯m-kb200键盘支持人体工学吗？	支持	字词
中国科学院武汉国家生物安全实验室的安全等级是多少？	p4	电子产品
陌陌泡泡兔有多大？ 	18.50m	单位
生命狂想曲三碟精装版是什么时候发行的？	2006年11月	日期
cis-game电子竞技俱乐部有什么参赛项目？	dota2	游戏
中国的官方语言是什么？	普通话	语言
革命烈士褒扬条例是什么时候颁布的？	1980年6月4日	日期
直-5的使用状态如何？	停产（1979年），退役	日期
中国文字博物馆属于什么部门？	中华人民共和国文化部	组织机构
狂犬病潜伏期的病原学是什么？	狂犬病毒	疾病
张茵的公司总部在哪里？	广东东莞	城市
雪佛兰uburban的制动方式是什么？	四轮碟刹	汽车零部件
卡拉哈利的纹路是什么颜色？	灰色 |	专辑
郑成功的祖籍是哪？	福建南安	地点
全国法制宣传日用英文怎么说？	the national legalawarenessday	英文名
7475铝合金有哪些化学成分？	硅 si	化学元素
你知道果岚方丈的俗名是什么吗？	赵福刚	宗教人物
j cera在哪里出道？	韩国	地点
匈牙利国旗的比例是什么？	1:2	日期
请问喜山颈槽蛇的同物异名是什么？	tropidonotus himalayanus	英文名
微山湖古镇的南北长是多少？	120公里	单位
谁创办了天猫？	张勇	人物
郑爽是什么时候开始活跃的？	2009年至今	日期
什么时候巴中市人民政府办公室关于进一步做好农村义务教育“普九”债务化解工作的通知开始执行？	2008-7-24	日期
信使号是什么时候发射的？	2004年8月3日	日期
上林强震台是什么时候动工的？	2005年4月	日期
联想e303要待机多久？	150-300 小时	组织机构
国务院办公厅关于加强和规范政府信息公开情况统计报送工作的通知是哪个机关发文的？	国务院办公厅	组织机构
伯的iso 3166码是什么？	no-1867	单位
康佳 lc40fs60dc的最佳观看距离是多少？ 	2.6～3.0米	单位
竹鹤图轴现在收藏于哪里？	故宫博物馆	历史
金鹰ev6a/s的cpu插槽是什么？	socket 370	单位
第五届广西沼气技术设备展览会属于什么行业？	绿色环保	社会事件
宫市亮现在在哪个球队效力？	特温特	组织机构
大定历时了多久？	23年	日期
怎么卖：引爆销售三部曲（第3部）的介质是什么？	dvd	英文名
谁是雌雄同体的编曲？	五月天	组织机构
阳台山有多高？	1278米	单位
通识逻辑学的开本有多少？	16	数字
峃作口溪有多大？	3252平方公里	单位
情人节是什么时候开始的？	公元270年2月14日	日期
泰格斯tss182us的携带方式是什么？	便携式	字词
undercover属于哪个国家？	日本	国家
谁是河上集的责任者？	康白情	学者
悦来镇有多大？	43平方公里	单位
西北农林科技大学茶叶研究所在哪里？	陕西 杨凌邰城路 3 号	字词
那不勒斯的主保圣人是谁？	圣亚努阿里乌斯	民俗
九龙巴士40线除了服务时间以外还有替代路线吗？	无	人物
张表乡的区号是什么？	530	数字
谁是社交礼仪的主讲？	金正昆	人物
谁扮演了程蝶衣 ？	张国荣	人物
血鼠之镰有多少耐力？	45	数字
高山对叶兰是如何命名的？	symb．sin 7： 1338. 1936	单位
银隆开元名郡什么时候开盘？	2009-10-01	日期
秋月级护卫舰的前型是什么？	高波级护卫舰	军事人物
戴尔v3400-336属于什么处理器系列？	英特尔 酷睿 i5	公司
杨建国是什么时候毕业的？	1988年7月	日期
章仔钧是哪个朝代的？	五代十国	亚洲历史
thinkpad w520的核心架构是什么？	sandy bridge	英文名
长春龙嘉国际机场距离市区有多远？	28公里	单位
edimax ep-4101属于什么类型？	pcmcia	英文名
高原天籁的组合是什么形式？	一男一女	书籍
月咏歌呗喜欢谁？	相马空海	人物
欧洲联盟有什么格言？	多元一体	书籍
你知道如家快捷酒店西安北二环大明宫店有哪些服务设施吗？ 	商务中心 停车场	公司
三星i939有多少个核心？	四核	科技产品
希捷st32510a的缓存是多少？	128mb	单位
鑫威kw9000es的硬盘盘位是什么？	16	数字
你知道浙江工业大学外国语学院的教学方式吗？	全日制	词语
皮埃尔·利特巴尔斯基在哪个比赛获得了亚军？	德国杯	体育赛事
谁是梦一场的编曲？	袁惟仁	歌手
共青中心城共有多大的面积？	60000	数字
请问三星i9250 rom适合哪些机型？	三星 i9250 galaxy nexus	电子产品
隐密士hsm 102.2(3.9mm)的碎纸效果是多少？	3.9mm	单位
南京地铁7号线是什么时候开通的？	最早2019年底通车	日期
海绵宝宝历险记2使用的什么语言？	英文	语言
你知道深圳卫视的视频格式吗？	576i(4:3)，1080p(16:9)	日期
有哪些娱乐设施在广州马会酒店？	卡拉ok厅 夜总会	场所
你知道逃离校园一恶性循环的首发状态如何吗？	驻站作品	文学作品
谁是郭矸的敌人？	索超	人物
雷尼尔三世是什么时候去世的？	2005年4月6日	日期
大家了解法国网球公开赛的场地在哪里吗？	室外 红土	字词
酷寒之地属于什么政体？	君主制	外国历史
请说出quanshi qs-6533f的成像器件是什么？	1/4英寸 sharp ccd	制造商
海家庄的区号是多少？	312	数字
什么是语音芯片的载体？	集成电路	法律术语
请问全国人民代表大会常务委员会关于加入《世界知识产权组织表演和录音制品条约》的决定是由哪个会议提出的？	全国人民代表大会常务委员会	组织机构
tp-link tl-tr761（中国电信）的最高传输速率是多少？	150mbps	单位
回龙乡离县城有多远？	43公里	单位
美国国家航空102号班机的目的地在哪？	阿勒马克图姆国际机场	地点
苍井空有多高多重？	5英呎 2英吋 / 101 磅	歌曲
你知道神曲奏界是什么时候发表的吗？	2006年1月－2013年6月	日期
新能源科学与工程的修业年限是多少？	四年	电影
血管健康日的公历日期是什么？	5月18日	历史
东莞汽车总站占地多少亩？	300亩	人物
坪上村有多少个自然村？	2	数字
王树增非虚构中国近代历史系列的尺寸和重量是多少？	23.8x15.8x2.8cm;839g	单位
拉特曼诺夫岛最高有多少米？	505米	单位
惠普246437-002的电池有多少电压？	14.8v	单位
什么颜色陈治最喜欢？	白与黑	小说
欧洲风情街的中心在哪里？	中山广场	广场
你知道吉川萌的三围是多少吗？	85 - 58 - 88 cm	单位
尚夫罗米耶1999年有多少人？	593	数字
吴玉芳属什么？	兔	动物
博尼bn-0340qhl/sn-b使用的什么视频输出？	1.0vp-p，75ohm	单位
社会民主党的官方色彩是什么？	蓝色	颜色
请问tb_setup.exe是后台程序吗？	是	字词
你知道无限世界的游戏状态吗？	2014年3月25日开放测试	日期
联想启天m7150的标称频率是多少？	2800mhz	单位
林本源园邸是何时建成的？	1847年	日期
西区的区划有多远？	19里	单位
大明天下的现名是什么？	《天下》	电视剧
请问鄞州高桥跨了多少米？	28.5米	单位
你知道中山桥什么时候开工吗？	1937年	日期
苹果powermac g5 m9020ch/a的cpu频率是多少？	1600mhz	单位
timken 368/363轴承的外圈是多少？	363	数字
请问月球大气与粉尘环境探测器的功耗是多少？	100 w	小说
北京机场大巴1线什么时间运营？	首都机场    7:00-24:00	日期
1990年广州白云机场劫机相撞事件涉及了多少名乘客？	93	数字
谁是统一速达的主要股东？	统一企业 20% 统一超商 70% 大和运输 10%	公司
蓝色雨的销量如何？	未知	电影
紫藤盾壳霉的中文纲名是什么？	半知菌纲	生物
请问上海11路的单程行车里数是多少？	5.268km	单位
你知道文理书院有多大吗？	5499平方米	单位
81式火箭炮的最大行程是多少？ 	500公里	单位
科特迪瓦有哪些其他资料？	civ	英文名
谁是baby的原唱？	justinbieber,ludacris	单位
彩鳞出自哪些？	《斗破苍穹》 《大主宰》客串	小说
请问魔界战记属于什么文库？	电击文库	文学作品
2051年4月11日日食是什么时候开始的？	02:10:39	日期
与2051年4月11日日食的有关资料有什么？	日偏食	自然现象
什么是进击的学校的原作？	谏山创	人物
王小谟信仰什么？	共产主义	思想体系
ngc 1500有哪些其他编号？	eso 201-13,am 0356-522	单位
你知道复兴航空222号班机空难有多少人生还吗？	9	数字
你知道巨石山生态文化旅游区的总面积吗？	43平方公里	单位
你知道曼弗雷德·冯·里希特霍芬统率哪里吗？	第11战斗机中队 (1917年1月) 第1战斗机联队  (1917年6月24日至1918年4月21日)	日期
谁发现了钨？	卡尔·威尔海姆·舍勒	化学家
五凤朝阳刀是谁写的？	冯家文	人物
你了解李尔王的摄制格式吗？	35mm	单位
2013款宝马320i运动型是什么时候生产的？	2012年7月13日	日期
金栽经是哪个组合的？	rainbow、rainbow blaxx	单位
黑夜童心的序号是多少？	682	数字
香格蔚蓝一、二期在哪里？	东陵区	市辖区
环境艺术设计原理下大概有多重？	0.630kg	单位
什么是灰冠黑雀的拉丁名？	nigrita canicapilla	英文名
减肥新方法是哪个单位出版的？	中医古籍出版社	组织机构
癌症的发病部位是哪？	全身	字词
zklnj417 轴承的内径是多少？	1900年3月	日期
极乐寺是什么时候创建的？	传・天平年间（729年 - 749年）	日期
你知道这样算是僵尸吗？的出版商是谁吗？	marine entertainment	英文名
阿塞拜疆民主共和国常用什么语言？	阿塞拜疆语	字词
请问死亡绝境的运行系统是什么？	ios	英文名
大家知道硅藻泥壁纸的主要材料是什么吗？	硅藻土	硅质岩石
北京新燕城酒店的标间有多大？	25平米	单位
长江西路高架桥是什么时候竣工的？	2010年10月14日	日期
里斯本竞技足球俱乐部的中文译名是什么？	里斯本竞技	组织机构
宝湖庭院共多大？	4.2万平方米	单位
软化水设备有多少工作压力？	0.15-0.6mpa	单位
浙江省第一监狱是什么时候建立的？	​1952年	日期
有谁知道奥斯卡·多斯桑托斯·恩博亚巴·朱尼奥是几号球衣吗？	8	数字
你知道中国好声音的冠军吗？	李琦	歌手
长江中心是什么时候启动的？	2004年9月6日	日期
翔升权杖7900gs512m256bgd3的芯片位宽是多少？	nvidia	英文名
请问新左营车站日进出多少人？	12,554 [1]，第26名（2013年）	日期
英利普幻影者 ydp809(4gb)有多少存储？	4gb	单位
请问叶赫那拉·静芬是什么时候出生的？	1868年2月3日	日期
请问紫苏鸡翅是什么厨具制作的？	电压力锅	词语
t-50战斗机是什么时候首飞的？	2010年1月29日	日期
咪咪流浪记在哪些电视台播出？	中国电视 三立都会台 中都卡通台 亚洲电视 广东电视台	公司
谁是中华民国总统的任命者？	1948年－1996年：国大选出 1996年起：公民直选	日期
谁是陕西省人民政府外事办公室的副主任？ 	李建华	人物
谁是严稚棱的好友？	王家姐弟 沈佳润 徐子宸 kimi	人物
糜稽的声优是谁？	石冢 坚	字词
nachi 320kbv039轴承的od是多少？	460 mm	单位
大家知道土星的平均密度吗？	0.69g/cm³	单位
请问萨尔瓦多共产党是什么时候重建的？	1935年	日期
谁是海盗湾的创始者？	gottfrid svartholm	英文名
中秋节是农历的几月几日？	八月十五	电影
请问博帝1gbx2 ddr2 1150（战斧极速超频）的容量该如何描述？	套装	字词
eva的企划有哪些？	gainax、project eva.	单位
中国国际航空129号班机空难是在哪里起飞的？	北京首都国际机场	地点
请问苍井空有哪些音乐作品？	《let me go》、《第二梦》、《裸のkiss》、《毛衣》	歌曲
云南红河奔牛俱乐部篮球队是在哪里创办的？	云南	景点
大家知道海妖星的平均速度是多少吗？	19.02 km/s	单位
维a酸的治疗考量是什么？	x	英文名
立人e-mini系列i3是什么材质的？	铝	元素
处女油画的名称是什么？	处女	语言
谁是铭瑄极光8600gt超金钻版的厂商？	nvidia	英文名
铭瑄极光8600gt超金钻版的显卡芯片是什么？	geforce 8600gt	单位
请问狂飙属于什么派别？	狂派	动漫
吕伟的最高学历是什么？	本科	词语
amr-1中距空空导弹有多少射程？	45千米	单位
你知道金色世界湾的位置吗？	南关区 临河街与南四环路交会处	地点
忘却的祭司有多少等级？	160	数字
汪可盈的imdb编号是什么？	nm4032297[2]	单位
koyo 32310jr轴承的厚度是多少？	42.25mm	单位
南极洲的陆地有多大？	1239万km²	单位
德国铁路120系电力机车有多长？	19.20米	单位
海尔bcd-216tcx是如何制冷的？	直冷	电子产品
三月新娘的写作进度如何？	连载中	文学作品
什么是特内里费岛的最高点？	teide	英文名
汉泰699是在哪里上市的？	中国	历史
京华jwm-5011支持语音导航吗？	支持	字词
中和村的总收入是多少？	137万元	单位
商标法条约是什么时候生效的？	1996年8月1日	日期
青岛市城阳第十中学改名后叫什么？	崂山五中	组织机构
mu是如何授权的？	免费软件	词语
甲酸甲酯的pubchem是多少？	7865	数字
谁是setup_wm.exe的作者？	microsoft corporation	英文名
杰微gt630 掠夺者 1gb d5属于什么系列？	nvidia gt600系列	公司
汪家宝的文化水平是什么？	副教授	人物
明基vp2212的hdmi接口是什么？	1*hdmi1.2	单位
你了解微店属于什么性质吗？	电子商务	人物
你知道月亮的背面是哪个专辑里面的吗？	黑·择·明	音乐作品
雅美达a-720t的带宽是多少？	160	数字
你知道先天性甲状腺机能低下症是如何传播的吗？	遗传性	软件
浪木yl-201am是如何放置的？	立式	字词
卡门的洗印格式是什么？	35毫米	单位
门兴格拉德巴赫队是哪个联赛的？	德国足球甲级联赛	体育赛事
请问书剑恩仇录是什么时候在香港哪个台首播的？	2010年10月25日 亚视电视	日期
ipad 的显示屏有多大？	9.7英寸（250毫米） 1,536 x 2,048 nbsp;px 264 ppi 4:3 比例 7.9 in（200 mm）	日期
大家知道马德雷山脉是什么走向吗？	南北	音乐作品
海龙王游戏机的产地是哪里？	广州番禺	地点
行政院云嘉南区联合服务中心是什么时候编制的？	2012年3月27日	日期
泡姜排骨锅要使用哪些原料？	排骨	人物
斯蒂芬·阿霍鲁是男是女？	男	性别
滚塑f40的抗拉性如何？	180℃时100kg/crn2	单位
永恒之塔的运营商是什么？	ncsoft	英文名
